episode_count,baker,signature,technical,showstopper,result,series
28,Frances,Peach Pie In the Sky,1st,Cherry Tree Baklava Filo Pie,Safe,4
28,Glenn,Apple & Maple Syrup Pie,9th,Spanakopita,Safe,4
28,Howard,Apple Pie with Sage Pastry,5th,Fresh Fig and Feta Filo Flan,Safe,4
28,Kimberley,Pecan and Rosemary Caramel Apple Pie,4th,"Chicken, Bacon and Butternut Squash Pie",Star Baker,4
28,Robert,Apple and Pear Pie with Thyme,3rd,Spanakopita with St George's Mushrooms,Safe,4
28,Ruby,Apple and Marzipan Pie,6th,"Rose, Almond and Raspberry Filo Pie",Safe,4
29,Beca,"Chocolate, Cherry and Hazelnut Brownies",5th,Tiered Macaron and Sugar Dough Biscuit Centrepiece,Safe,4
29,Christine,Mixed Berry and Almond Crumble Traybake,1st,Shortbread Bavarian Clock Tower,Star Baker,4
29,Frances,Millionaire Banoffee Bonus,3rd,Biscuit Buttons and Beads[a],Safe,4
29,Glenn,Apricot and Pistachio Tiffin,2nd,Shortbread and Macaron Helter-Skelter,Safe,4
29,Howard,Breakfast Traybake,8th,Japanese Pagoda Tea Tower,Safe,4
29,Kimberley,Cherry and Almond Bakewell Florentine Slice,7th,Black and White Viennese Biscuit Stack,Safe,4
29,Robert,Blueberry & Orange Traybake,4th,Orange and Lemon Biscuit Dalek,Eliminated,4
29,Ruby,Blackberry and Lemon Bakewell Slice,6th,'Dropped Ice Cream' Biscuit Centrepiece,Safe,4
30,Beca,Bara Brith,6th,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,Safe,4
30,Christine,Oxford Nutty Fruit Loaf,4th,Schnecken BunsVanilla Custard Skolebrød,Safe,4
30,Frances,Chai Tea Loaf,2nd,Hot Cross BriochesRhubarb and Custard Kolaches,Safe,4
30,Glenn,Devonshire Panettone,5th,Almond and Apricot BriochesSticky Caramel Kanelbullen,Safe,4
30,Howard,Date & Hemp Yorkshire Loaf,7th,Peachy BunsGerman Baumschnecken,Eliminated,4
30,Kimberley,Chai Spiced Ginger and Date Tea Loaf,3rd,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,Safe,4
30,Ruby,Citrus Tea Loaf,1st,Twisted Swedish KanelbullarSaffron St. Lucia Buns,Star Baker,4
31,Beca,Spring Lamb and Vegetable Suet Pudding with Redcurrant Gravy,1st,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,Safe,4
